,bias,cells,cellswithmotif,cellswithmotif_sd,cellswithmotif_se,elong,maxstrandlen,motif,motiffreq,motiffreq_sd,motiffreq_se,nonemptystrands,nonemptystrands_sd,nonemptystrands_se,nr_samples,rounds,sampler_start,strands,trials
783,0.05,100,0.69195599999999979,0.0062940340005436923,0.00089011082456062773,0.05,7,10101,0.014273810527382072,0.00022453865865492477,3.1754561634685754e-05,0.83316691999999959,0.0010009130399790637,0.00014155047958944755,50,7000,1000,100,50
784,0.15,100,0.77002799999999982,0.0074591163015467025,0.0010548783436965588,0.05,7,10101,0.022401532732641245,0.0003423326605914845,4.8413149145174291e-05,0.83339175999999981,0.0010224285316832583,0.00014459322960636736,50,7000,1000,100,50
785,0.25,100,0.82501999999999964,0.0065027071285734548,0.00091962166133687851,0.05,7,10101,0.032074725795670458,0.00050459284378379934,7.1360204315545745e-05,0.83347744000000001,0.0007061159156965983,9.9859870458562632e-05,50,7000,1000,100,50
786,0.35,100,0.84803600000000035,0.0060235125964838735,0.00085185332070726702,0.05,7,10101,0.038117668444031937,0.00056550666217512877,7.9974719126040729e-05,0.83344807999999981,0.0010145103220765828,0.00014347342566482002,50,7000,1000,100,50
787,0.45,100,0.84803999999999991,0.0064788887936127037,0.00091625324010341459,0.05,7,10101,0.037679882332180434,0.00064143179173667246,9.0712153921127669e-05,0.83359163999999997,0.0008331594507655928,0.00011782653948920203,50,7000,1000,100,50
788,0.0,100,0.64662800000000009,0.0062891665584558941,0.00088942246429916483,0.05,7,10110,0.0078039544079773916,8.2327653668247243e-05,1.1642888437599034e-05,0.83326984000000015,0.00083140939037275817,0.00011757904357495015,50,7000,1000,100,50
789,0.1,100,0.75313599999999992,0.0064550680863953679,0.00091288448338220707,0.05,7,10110,0.015390507450821014,0.00023652635710735495,3.3449878207992328e-05,0.83337936000000001,0.00095837499466547228,0.00013553469152951535,50,7000,1000,100,50
790,0.2,100,0.82789599999999963,0.0059082640428471164,0.00083555471394756845,0.05,7,10110,0.027029450034653971,0.00036594263994398432,5.1752104445939692e-05,0.83341612000000009,0.0010854415809245215,0.00015350462049071518,50,7000,1000,100,50
791,0.3,100,0.86023999999999967,0.0057512433438344215,0.00081334863373586281,0.05,7,10110,0.037255742135275299,0.00055392646117803494,7.8337031395531065e-05,0.83335848000000001,0.00086927027419550669,0.00012293338111350646,50,7000,1000,100,50
792,0.4,100,0.86698000000000019,0.0050273253326197156,0.00071097116678526325,0.05,7,10110,0.04118587648130715,0.00063767956673011677,9.0181509171793022e-05,0.83327904000000019,0.00094456747689083747,0.00013358201363955572,50,7000,1000,100,50
793,0.05,100,0.70216800000000001,0.0053191518120843202,0.00075224166329710697,0.05,7,10110,0.010929041370211752,0.00016051481469572251,2.2700222790449493e-05,0.83320819999999995,0.0010027307714436317,0.00014180754563844201,50,7000,1000,100,50
794,0.15,100,0.793964,0.0062364977351074156,0.00088197396786979969,0.05,7,10110,0.02098050149899373,0.00033327358020087587,4.7132001710071607e-05,0.83337116000000011,0.0010218420300614104,0.00014451028575157026,50,7000,1000,100,50
795,0.25,100,0.8481080000000002,0.0065025791806021223,0.00091960356676124488,0.05,7,10110,0.032703291647939003,0.00042417644539816151,5.9987608192129058e-05,0.83326211999999966,0.00084004641871742261,0.00011880050383731268,50,7000,1000,100,50
796,0.35,100,0.86804000000000003,0.0058580542844873145,0.00082845398182397774,0.05,7,10110,0.040251530880693304,0.0004931267634494266,6.973865568393281e-05,0.83329692000000011,0.00079166793139546457,0.00011195875254753189,50,7000,1000,100,50
797,0.45,100,0.86199599999999987,0.006363205481516406,0.00089989314921273215,0.05,7,10110,0.040496503679478879,0.0006041233884119219,8.5435948923892897e-05,0.83344152000000005,0.00076519044008663251,0.00010821426981687528,50,7000,1000,100,50
798,0.0,100,0.78659199999999996,0.0068160938960668887,0.00096394124302262628,0.05,7,10111,0.040421849718211576,0.00086927461956850258,0.00012293399564204891,0.8331382799999999,0.0010231587176973401,0.0001446964935027843,50,7000,1000,100,50
799,0.1,100,0.92797200000000002,0.0052955845758518921,0.00074890875278635198,0.05,7,10111,0.082521540510976404,0.00091918580771240216,0.0001299925035607747,0.83352959999999998,0.00098018863490658597,0.0001386196061168864,50,7000,1000,100,50
800,0.2,100,0.94378399999999973,0.0046024063271293157,0.0006508785447378022,0.05,7,10111,0.097750680779308097,0.0011702723548850968,0.00016550150359488037,0.83349624000000011,0.00083614569448153548,0.00011824885812556579,50,7000,1000,100,50
801,0.3,100,0.93278399999999995,0.0054748647471878128,0.00077426279776313513,0.05,7,10111,0.084799316131749028,0.0011197673443708676,0.0001583590165111785,0.83337740000000016,0.0010293649498598627,0.00014557418727233188,50,7000,1000,100,50
802,0.4,100,0.90512399999999982,0.00532043456871714,0.00075242307247984277,0.05,7,10111,0.060921979344386201,0.00079167889765773697,0.00011196030341121531,0.83329444000000008,0.00089703532059779182,0.00012685995163170944,50,7000,1000,100,50
803,0.05,100,0.89298799999999989,0.0055983440408749552,0.00079172540694359586,0.05,7,10111,0.060956090758969399,0.00055021248690445459,7.7811796116730866e-05,0.83346775999999967,0.00093169837522664349,0.0001317620478286496,50,7000,1000,100,50
804,0.15,100,0.94060000000000032,0.0042195734381569663,0.00059673779836708519,0.05,7,10111,0.094607562602427184,0.00088969870030509762,0.00012582239683971846,0.83326452000000006,0.00086390655142787071,0.00012217483616522645,50,7000,1000,100,50
805,0.25,100,0.9410280000000002,0.0043401400899049014,0.00061378849777426949,0.05,7,10111,0.093366994854265001,0.00092243418531711839,0.00013045189352720458,0.83350716000000002,0.00096243558454584802,0.00013610894565752157,50,7000,1000,100,50
806,0.35,100,0.9218679999999998,0.0051979395917997996,0.00073509966671193459,0.05,7,10111,0.073219250322377999,0.00095508047071833657,0.00013506877548475512,0.83337367999999978,0.00096178977827797657,0.00013601761485925265,50,7000,1000,100,50
807,0.45,100,0.88149999999999962,0.0054501743091391348,0.00077077104252819772,0.05,7,10111,0.048779680070597763,0.00061472670785397987,8.6935484740006171e-05,0.83339119999999989,0.00084697419087005166,0.00011978023877084055,50,7000,1000,100,50
808,0.0,100,0.65960800000000008,0.0045591157037302467,0.0006447563260643472,0.05,7,11000,0.007991577729982588,7.9650609990596484e-05,1.1264297289999148e-05,0.83300644000000024,0.000899971136426045,0.00012727513868780399,50,7000,1000,100,50
809,0.1,100,0.68234800000000007,0.0063447376620314171,0.00089728140513441927,0.05,7,11000,0.0092073857376644992,0.00011059154203183848,1.5640005862518017e-05,0.8331835999999998,0.0010145148988556019,0.0001434740729191161,50,7000,1000,100,50
810,0.2,100,0.72471999999999992,0.0060046648532620234,0.00084918784729882035,0.05,7,11000,0.012624137067891967,0.00019073859752300864,2.6974511148506205e-05,0.83332999999999968,0.0010384382889704964,0.00014685735119495871,50,7000,1000,100,50
811,0.3,100,0.77946399999999993,0.0059396215367647663,0.00083998933326560573,0.05,7,11000,0.019250932989310729,0.00026766365451998066,3.7853357037650325e-05,0.83315575999999991,0.00093363655798171525,0.00013203614826250761,50,7000,1000,100,50
812,0.4,100,0.82215199999999966,0.005712801064276584,0.0008079120744239396,0.05,7,11000,0.028846529334461062,0.000480874621801276,6.800594119523973e-05,0.83320127999999982,0.00098202124294746989,0.0001388787760314796,50,7000,1000,100,50
813,0.05,100,0.67055600000000015,0.0050757919579115908,0.00071782538266628576,0.05,7,11000,0.0084507425445603194,7.3382249872092198e-05,1.037781730065641e-05,0.83357696000000003,0.00084848365829872296,0.00011999370970179928,50,7000,1000,100,50
814,0.15,100,0.70183600000000002,0.0064687173380817888,0.0009148147790673251,0.05,7,11000,0.01055658179716611,0.00011237646811186197,1.5892432529538285e-05,0.83339235999999961,0.00095338090520001269,0.00013482842062413958,50,7000,1000,100,50
815,0.25,100,0.7510880000000002,0.0066568653283658871,0.0009414229230266264,0.05,7,11000,0.015458558072074427,0.00024424908231569006,3.4542036480803135e-05,0.83332567999999996,0.00082708561684993666,0.00011696756965928977,50,7000,1000,100,50
816,0.35,100,0.80143600000000004,0.0067775736071251621,0.0009584936515178343,0.05,7,11000,0.023806756699304352,0.0003661407037124364,5.1780114892695654e-05,0.83330547999999982,0.00083342433945744158,0.00011786400040725521,50,7000,1000,100,50
817,0.45,100,0.84096800000000016,0.0063107983647079004,0.00089248166367718621,0.05,7,11000,0.033754256202237258,0.00044419980900347385,6.2819339429625109e-05,0.83318748000000009,0.00097649436741852958,0.00013809715779842206,50,7000,1000,100,50
818,0.0,100,0.71896400000000005,0.0062222426825060059,0.00087995799899767409,0.05,7,11001,0.013832537024610136,0.00020109403603433233,2.8438991307209667e-05,0.83348595999999986,0.00076768040120871292,0.00010856640349573807,50,7000,1000,100,50
819,0.1,100,0.76599200000000023,0.0056589695175005275,0.00080029914407051754,0.05,7,11001,0.018243465011535467,0.00032682733740784631,4.6220365311646379e-05,0.83322868000000017,0.0011943780044860208,0.00016891055725442439,50,7000,1000,100,50
820,0.2,100,0.82232800000000017,0.0076554566160353613,0.0010826450572556047,0.05,7,11001,0.027754465231708249,0.00039266136927065625,5.5530703384255211e-05,0.83323860000000005,0.00086849223370160657,0.00012282334957165156,50,7000,1000,100,50
821,0.3,100,0.85560800000000015,0.0057452533451537282,0.00081250151999857944,0.05,7,11001,0.037258418137893108,0.00046123552709279188,6.5228553786292939e-05,0.83347515999999999,0.00098823447339180747,0.00013975745950753276,50,7000,1000,100,50
